,Product,Consumer_complaint_narrative,category_id
1211,"Credit reporting, credit repair services, or other personal consumer reports","Hello, on XX/XX/XXXX I was notified by a potential company that I was obtaining a loan from that I had a collection on my credit report. I proceeded to check my credit and notice that XXXX XXXX the debt collection agency for XXXX XXXX placed a {$460.00} collection on my credit. The account was opened fraudulent on XX/XX/XXXX and closed on XX/XX/XXXX. I DID NOT OPEN A CELL PHONE WITH THIS COMPANY. I LIVE IN GEORGIA AND THIS COMPANY DOES NOT OPERATE IN MY STATE. I HAVE AND HAD PHONE SERVICE WITH ANOTHER PROVIDER FOR YEARS. THIS FRAUDULENT ACCOUNT IS HARMING MY FAMILY AND MYSELF. I HAVE REPORTED THIS FRAUD TO THE FTC ( report # XXXX ), the XXXX AND THE ATTORNEY GENERAL. THIS IS PREVENTING ME FROM MOVING FORWARD WITH MY LOAN PROCESS.",0
1212,"Credit reporting, credit repair services, or other personal consumer reports","XXXX XXXX XXXX XXXX XXXX, MI XXXX XX/XX/XXXX To Whom IT May Concern, This letter shall serve as formal notice of my intent to file a complaint with the FTC, due to your blatante and objectionable disregard of the law.

As indicated by the attached copies of letters and mailing receipts, you have received and accepted through registered mail my dispute letter dated, as well as my follow-up letter dated. To date you have not done your duty as mandated by law. Your non-compliance with federal law is unacceptable, your disregard for it contemptible. Rest assured I shall hold you accountable.

Federal law requires you to respond within 30 days, yet you have failed to respond. Failure to comply with these federal regulations by credit reporting agencies are investigated by the Federal Trade Commission ( see 15 USC 41, et seq. ). 

I am maintaining a careful record of my communications with you on this matter ; for the purpose of filing a complaint with the FTC should you continue in your non-compliance. I further remind you that, as in XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX, you may be liable for your willful noncompliance.

For the record, the following information is being erroneously included on my credit report, as I have advised you on two separate occasions, more than 75 days and again 40 days ago : I. ) Record type : XXXX XXXX XXXX XXXXXXXX - Reference number : XXXX XXXX. ) Account name : XXXX XXXX XXXX - Account number : XXXX XXXX. ) Account Type : Collection - Account number : XXXX If you do not immediately remove this fraudulent and incomplete information, I will file am additional complaint with the Federal Trade Commission. 

Should you continue to operate with complete disregard for the law, I intend to seek redress in civil action for recovery of damages, costs, and attorney fees. For this purpose I am carefully documenting these events, including the lack of response REQUIRED under law from you.

Additionally, please provide the name, address, and telephone number of each credit grantor or other subscriber.

Under federal law, you had 30 dayz to complete your re-investigation, yet you have failed to respond. Further delays are inexcusable. 

Be advised that the description of the procedure used to determine the accuracy and. completeness of the information is hereby requested as well, to be provided within 15 days of the completion of your re-investigation. 

Sincerely, XXXX XXXX",0
1366,Debt collection,"THIS US NOT A DUPLICATE COMPLAINT!

This company has not provided an appropriate response to my complaint. This company simply copied and pasted their original response. The company did not address the 3 items I specifically requested in accordance with the FDCPA.

My complaint specifically addressed the issue of HIPAA compliance between the original creditor and the debt collection agency. The original creditor has NOT provided a copy of the contract that indicates my permission to release my medical information to a third party. 

I do not recall giving permission to XXXX XXXX for them to release my medical information to a third party. I am aware that the HIPAA does allow for limited information about me but anything more is to only be revealed with the patients authorization.

Therefore my request is twofoldvalidation of debt and HIPAA authorization. 1 ) Please provide breakdown of fees including any collection costs and medical charges. 2 ) Provide a copy of my signature with the provider of service to release my medical information to you. 3 ) Cease any credit bureau reporting until the debt has been validated by me. Please send this information to my address listed in this complaint and accept this letter, as my formal debt validation request, which I am allowed under the FDCPA.

Please note that withholding the information you received from any medical provider in an attempt to be HIPAA compliant can be a violation of the FDCPA because you will be deceiving me after my written request.

I request full documentation of what you received from the provider of service in connection with this alleged debt. Additionally, any reporting of this debt to the credit bureaus prior to allowing me to validate it may be a violation of the Fair Credit Reporting Act, which can allow me to seek damages from a collection agent. I will await your reply with above requested proof. Upon receiving it, I will correspond back by certified mail.",3
1376,"Credit reporting, credit repair services, or other personal consumer reports","Hi I am submitting this XXXX XXXX this isn't any influence and this is not a third party. TransUnion has low and unfair credit number for me in their report. I have complained more than 88 times nonstop this is exhausting im depressed they are not putting these fraudulent inquiries in dispute and accounts and they still haven't deleted them either I am depressed. The problem has not been resolved. my fico has me at a credit score over 709 transunion has me at a score around 590. That is a huge difference. transunion paints me as a XXXX. my fico say I have good credit. What the heck is going on here. i have almost no debt and my identity was stolen causing my score to drop n i made this clear for 90 days straight with transunion i spoke to a representative agent name XXXX and XXXX and XXXX and XXXX and XXXX  from the fraud department I prefer to speak to a us rept but they refused they had me on mute for 4 hours which was hurtful I have a perfect repayment record. I have very low credit utilization. I have one negative credit items outstanding debt now that is not mines. I have modest but ok income. Social Security. Something is wrong with Transunion. I do not understand why they are abusing consumers they don't help you at all This was a first step towards attempting resolution. They kept lying telling me they disputed n its not reporting but it keep reporting this inaccurate information without my authorization. They refused or were unable to verify n remove the inquiries and negative account its been 60days n they record the calls n admitted they had my police report n ftc and affidavit That was after attempting to contact Transunion more than 88 times in the last 120 days. transunion is an XXXX  company. They are supposed to be protecting consumers. They need to be reigned in. they are causing me severe XXXX and stopping me from getting this job offer n now im XXXX  n cant provide to my XXXX XXXX XXXX  daughter PLEASE HELP ME PLEASE im depressed now.with no help they keep ignoring me after I keep telling them repeatedly they are hurting my character of my name they won't respond and it not even in investigation with and me and my son are bout to be homeless please help I cant live like this The credit bureaus never did a proper "" investigation '' according to the FCRA. Section 1681a of the Fair Credit Reporting Act defines an investigative consumer report as a consumer report or portion thereof in which information on a consumer 's character, general reputation, personal characteristics, or mode of living is obtained through personal interviews with neighbors, friends, or associates of the consumer reported on or with others with whom he is acquainted or who may have knowledge concerning any such items of information. They did not do this. Also they have violated my rights even more. The credit bureaus stated my account was properly investigated but how is that possible if I never gave these creditors WRITTEN CONSENT OR AUTHORIZATION TO USE MY PERSONAL INFORMATION TO OPEN OR CLOSE ANY ACCOUNT. THESE BALANCES IS IN ACCURATE, PAYMENT STATUS AND HISTORY IN ACCURATE, LAST ACTIVITY DATE IS IN ACCURATE, ALL INFORMATION REGARDING THESE NEGATIVE INSTALLMENT LOAN IS INACCURATE.Someone is using my personal information pretending to be me to obtain credit. I don't know anything about this fraudulent account. I don't have any closed OR OPEN accounts with THESE LISTED CREDITORS BELOW WITH MY DOCUMENTATION. Also they have violated my rights even more In accordance with the Fair Credit Reporting Everything has to be 100 % accurate on my credit report. The credit bureaus stated it was properly investigated but how is that even possible if THESE CREDITORS DID NOT GET ANY WRITTEN SIGNATURE, CONSENT OR AUTHORIZATION FROM ME. This account is fraud and does not belong to me, this is in accurate, I have never opened or closed any account with THESE CREDITORS I ask for documents with signature or authorization, they did not submit my request.This grounds for removal and deletion immediately. I never gave THESE CREDITORS ANY WRITTEN CONSENT OR AUTHORIZATION TO USE MY PERSONAL INFORMATION TO OPEN THIS ACCOUNT. THIS IS FRAUD. I'VE ASK FOR SIGNED DOCUMENTS WITH MY SIGNATURE GIVING WRITTEN CONSENT TO OPEN THIS FRAUDULENT CREDIT ACCOUNTS. SOMEONE USE MY PERSONAL INFORMATION PRETENDING TO BE ME WITHOUT MY AUTHORIZATION OR CONSENT TO OPEN OR CLOSE ANY CREDIT ACCOUNT WITH THESE CREDITORS BELOW They also violated the law because according to 15 U.S.C 1681 section 602 A. states i have the rights to privacy 15 U.S.C 1681 section 604 section 2 : it also states a consumer reporting agency can not furnish a account without my written consent. In accordance with the Fair Credit Reporting act WITH THESE CREDITORS BELOW XXXX  AND XXXX  AND TRANSUNION has violated my rights. 15 U.S.C 1681 section 602 A. States I have the right to privacy. 15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1666B : A creditor may not treat a payment on a credit card account under an open end consumer credit plan as late for any purpose SECTION 604 15 U.S CODE 1681 B THE LAW STATES THAT NO ONE CAN FURNISH INFORMATION ON MY CREDIT REPORT WITHOUT MY CONSENT. SECTION 605 A 15 U.S CODE 1681 C-1 WITH NO WRITTEN CONSENT OR INSTRUCTIONS THAT WOULD IN FACT BE IDENTITY THEFT SECTION 605 B 15 U.S CODE 1681C A copy of section 605B of the Fair Credit Reporting Act, whichrequires you to block the.fraudulent information on my credit report resulting from identity theft within four business days and to promptly notify the furnisher ( s ) of that information. Please block this information from my credit report, pursuant to section 605B of the Fair Credit Reporting Act, and send the required notifications to all furnishers of thisinformation.",0
1432,"Credit reporting, credit repair services, or other personal consumer reports","I recently checked my credit report and saw that on XX/XX/2022 "" WELLS FARGO DEALER XXXX '' ran my credit report. I did not authorize this inquiry. This inquiry has caused my credit score to decrease. I fear that my identity has been stolen.",0
1510,Checking or savings account,"On XX/XX/2023, I received multiple emails saying new account was opened under my name at Bank of America. I dont have any checking or savings account at Bank of America . I called Bank of America fraudulent activity number and was told that they will start investigation. They said they closed this account. I did not receive any other information.",5
1513,"Credit reporting, credit repair services, or other personal consumer reports",See the attached documents. I want the bureau to start the investigation on these accounts that i am never late of but they're reporting me as late.,0
1514,"Credit reporting, credit repair services, or other personal consumer reports",I am writing to dispute accounts and inquiries that are reported on my consumer credit report referenced below that are the result of identity theft and any unauthorized inquiries and demand verifiable proof bearing my signature/electronic signature. I never authorized such action and this constitutes a violation of my consumer rights under the Fair Credit Reporting Act Section 605B. Block of information resulting from identity theft [ 15 U.S.C. 1681c-2 ] and Fair Credit Reporting Act Section 604. Permissible purposes of consumer reports [ 15 U.S.C. 1681b ]. I have contacted these companies and found these actions were initiated without any compliant validation or original proof from any of the companies reporting. These accounts and inquiries are not factual since I never authorized them and are therefore the result of identity theft and or the illegal reporting of my consumer information by creditors and or XXXX XXXX XXXX XXXX.,0
1528,"Credit reporting, credit repair services, or other personal consumer reports","I have tried so many things to get things that are not accurate on my credit report with XXXX, names that are not correct that they are showing, not correct. Then collections account for XXXX opened on XX/XX/XXXX that I have tried disputing multiple times and they refuse to take it off it is at {$0.00} and shows still open, the account information for it is incorrect. I don't have late payments, the account has been paid in full and is closed since XX/XX/XXXX. I have even called XXXX and they confirmed that it is closed and that there are no late payments. 
Secondly there are two accounts for XXXX XXXX XXXX XXXX  XXXX XXXX. One on XX/XX/XXXX for {$1600.00} and the next is on XX/XX/XXXX for {$1500.00} I have reported I have no knowledge of this account and it is a HIPPA violation as well because whoever they are has my social security number and I did not release it to them. 

I know that it says no personal information and things like that but, I am frustrated because I have tried so many times to fix my credit report with up to date information and it never seems to matter to them. 

There is an address XXXX XXXX XXXX XXXX # XXXX XXXX, TX XXXX that is not a correct address at all. I have never lived there. It needs to be removed. 
Names that need to be removed, XXXX XXXX XXXX, XXXX XXXX XXXX, XXXX XXXX, XXXX XXXX, XXXX XXXX, XXXX XXXX XXXX, XXXX XXXX XXXX that is listed twice, XXXX XXXX XXXX, XXXX XXXX, and XXXX XXXX is on there two times as well. 
It only needs to be there one time. 

Lastly, there is a hard inquiry for Resident Verify saying it is XXXX XXXX XXXX XXXX - I have never even heard of it until I XXXX  and I don't even live near there at all. It needs to be removed as well Transunion is another story, I have requested XXXX XXXX to be removed as there are duplicate charges on my account. XX/XX/XXXX for {$560.00} I have no knowledge of this account and it is a HIPPA violation as well because whoever they are has my social security number and I did not release it to them. There is second collection from the same company with the same date but for {$520.00} on it. Again it needs to be removed.",0
1539,"Credit reporting, credit repair services, or other personal consumer reports","On XX/XX/22 i file a cfpb complaint with XXXX and Transunion and still haven't Responded, modify, or deleted anything. This is against my rights its been 30 days as well. 

In accordance with the Fair Credit Reporting act. The List of accounts below has violated my federally protected consumer rights to privacy and confidentiality under 15 USC 1681. Account name : XXXX XXXX  # XXXX, Account name : XXXX # XXXX 15 U.S.C 1681 section 602 A. States I have the right to privacy. 15 U.S.C 1681 Section 604 A Section 2 : It also states a consumer reporting agency can not furnish a account without my written instructions 15 U.S.C 1681c. ( a ) ( 5 ) Section States : no consumer reporting agency may make any consumer report containing any of the following items of information Any other adverse item of information, other than records of convictions of crimes which antedates the report by more than seven years. 15 U.S.C. 1681s-2 ( A ) ( 1 ) A person shall not furnish any information relating to a consumer to any consumer reporting agency if the person knows or has reasonable cause to believe that the information is inaccurate.",0
1542,"Credit reporting, credit repair services, or other personal consumer reports",I discovered that some of the information on my credit report was incorrect when I reviewed it. Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) require the 3 credit bureaus to validate these accounts ( A ). It is not permissible to fail to validate these reporting accounts as unverified information without providing any proof within the time frame specified by law. My credit report includes the following erroneous information that needs to be investigated and corrected : XXXX XXXX XXXX Balance : {$0.00} XXXX XXXX XXXX XXXX : {$6800.00},0
1543,"Credit reporting, credit repair services, or other personal consumer reports","Hello my name is XXXX XXXX and I have been reaching out to all three credit bureau 's via mail trying to resolve this debilitating issue for the past 7 months to no available. I have been disputing this/these accounts with The credit reporting agencies who are inaccurately reporting information on my consumer report without my consent. They are in violation of 15 USC 1681 e ( b ) where I am supposed to be promised accuracy in my report based on federal law. The companies have not been responding which is extremely frustrating and at this point Im not sure what else to do. 

I wrote to them on the following dates : XX/XX/XXXX XXXX XXXX",0
1544,"Credit reporting, credit repair services, or other personal consumer reports","When I reviewed my credit report, I discovered that some of the information was erroneous. The 3 credit bureaus must validate these items in line with Sections 609 ( a ) ( 1 ) ( A ) and 611 ( a ) ( 1 ) ( A ). It is not authorized to fail to validate these reporting items as unverified information without providing any proof within the period allowed by law. The following items need to be investigated and deleted from erroneous reporting in my file are listed on my credit report : XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXXXX/XX/XXXX",0
1550,"Credit reporting, credit repair services, or other personal consumer reports","This is my another endeavor to tell 3 CREDIT BUREAUS that I am a victim of identity theft and to complain specific records in my document because of their wrongdoing. The records I am questioning connect with no exchanges acquiring any possession of goods, services or money that I have made or authorized. Assuming no one cares either way, block the noteworthy of any information in my credit record that came about due to an alleged fraud. Per Section 605b of the FCRA CREDIT BUREAUS are required by law to remove any ITEMS or information which is found to be opened due to identity theft. 
XXXX XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX XXXX",0
1577,Vehicle loan or lease,"Dear BRIDGECREST FORMERLY XXXX # XXXX ; I was shocked when I reviewed my credit report and found late payment on the dates below : XX/XX/ for 300 days late :? 

I am not sure how this happened, I believe that I had made my payments to you when I received my statements. Also, with everything going on, particularly XXXX, and being XXXX with XXXX, loss of a family member lately, and loss of job, etc. My only thought is that my monthly statement did not get to me.",2
1591,"Credit reporting, credit repair services, or other personal consumer reports","On XXXX XXXX, 2023 it came to my attention that my automatic payment had been canceled with the business. I immediately made a payment to bring my account current and was told by the business that there was an error and a representative canceled my automatic payment in XXXX. 

The business agreed o refund fees and interest but has reporting me to credit bureaus as delinquent and/or late. This distinction is improper and false.",0
1631,Mortgage,"On XXXX XXXX, XXXX, I signed an application to start the process for a reverse mortgage with Reverse Mortgage Funding LLC. I expressed my interest in getting a loan at that time because of the very low interest rates. The loan XXXX estimated it would take @ XXXX days to process and close the loan. 
XXXX, the loan XXXX requested documents. A short delay with verifying my son 's documents and it took XXXX XXXX weeks to deliver due to my package placed in wrong box. We had a brief discussion about the XXXXXXXX XXXX XXXX XXXX XXXX XXXX XXXXXXXX. 
The loan XXXX stated he would not start the loan process until after the increase. 
On XXXXXXXX XXXX XXXX XXXX  XXXX the XXXX requested a title search from XXXX XXXX XXXX 
XXXX, XXXX, a second appraisal was due. 
There were extended delays in getting documents/information due to lack of communication. 
I received a call from the XXXX on XX/XX/XXXX, to notify me of the delay. Due to the pandemic, the title XXXX had not been successful in getting the payoff amount from the city. Once notified, I immediately contacted the right person ( XXXX )... the payoff information was emailed to the title company the same day. 
The second delay involved getting documents pertaining to my son since he was on title. Those XXXX 's were sent shortly after contact. I was told by XXXX that my file didn't become active until XXXX XXXX. 
A further delay occurred in XX/XX/XXXX when I received documents from XXXX XXXX XXXX XXXX regarding recording of liens that were paid, and XXXX that was not. I asked the XXXX the reason for the delays he responded, "" your loan was not a priority because we had to jump through too many hoops. '' By now. I'm concerned I might not meet my legal obligation on XXXX XXXX. 
I spoke with XXXX managers about the delay and my concern. The loan XXXX 's XXXX did not assure me that the loan would close by XX/XX/XXXX. 
By XXXX, and XXXX months later with no guarantee to meet my deadline, I reached out to otheXXXX XXXX companies. I was guaranteed by the owner at XXXX XXXX XXXX, that he would put me at the top of the list and guarantee the loan by my deadline. 

A third appraisal is now due @ {$850.00} each, and scheduled for XX/XX/XXXX. 

I'm retired, my son felt I was getting a bad deal and took out a loan to meet my obligation. 
Now, I will not benefit from the very low interest rates, my basement upgrade and travel plans are cancelled and my son has a debt on my behalf.",1
